"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"Svalbard and Jan Mayen","0","0","0","0","0","0","0","1","9","10","0","6","74","4","94"
"Sweden","0","0","0","0","0","0","5","7","34","46","0","51","665","33","795"
"Switzerland","6","0","6","0","0","6","4","15","52","71","0","71","764","58","970"
"United Kingdom","2","0","2","0","0","2","12","18","57","87","0","58","970","79","1,196"
"Belize","1","0","1","0","0","1","10","25","55","90","0","64","2,048","102","2,305"
"Costa Rica","3","0","3","9","0","12","34","78","135","247","0","107","3,318","263","3,938"
"El Salvador","0","0","0","0","0","0","6","24","38","68","0","45","1,608","102","1,823"
"Guatemala","2","0","2","1","0","3","45","76","100","221","0","80","2,768","195","3,266"
"Honduras","4","0","4","10","0","14","51","69","87","207","0","83","2,986","189","3,469"
"Mexico","21","9","30","32","3","65","217","335","334","886","1","205","4,827","645","6,594"
"Nicaragua","1","0","1","0","0","1","20","29","77","126","0","78","2,903","199","3,307"
"Panama","1","0","1","7","1","9","43","69","109","221","0","116","3,460","353","4,151"
